"measure","group1","group2","effect.type","effect.estimate","ci.min","ci.max","bias","std.error","group1.n","group2.n","run"
"IM_PRE_Opposition3_Mean_N","empathy","structure","unstandardized",-0.00200403461273024,-0.0785422307161437,0.0718782895761092,0.000123140627488433,0.0386570841562851,91,92,1
"IM_PRE_Opposition3_Mean_N","empathy","structure","hedges.g",-0.00762022161483068,-0.303520500156062,0.281857042506281,-0.00177322412687436,0.148888442228233,91,92,1
"IM_PRE_Opposition3_Mean_N","empathy","exploration","unstandardized",-0.0386921720255053,-0.114809795481086,0.0363660416154282,3.58187491520737e-05,0.0386154243709785,91,90,1
"IM_PRE_Opposition3_Mean_N","empathy","exploration","hedges.g",-0.148678006769916,-0.44273165729028,0.142429491996571,-0.00130729032923463,0.149010795854306,91,90,1
"IM_PRE_Opposition3_Mean_N","structure","exploration","unstandardized",-0.0366881374127751,-0.111792936310905,0.0393058904727055,4.9194847021039e-06,0.03866359394646,92,90,1
"IM_PRE_Opposition3_Mean_N","structure","exploration","hedges.g",-0.139612580588943,-0.427092639438266,0.148146009924264,-0.00165973298136962,0.148132822413038,92,90,1
"IM_POST_Opposition3_Mean_N","empathy","structure","unstandardized",-0.000743218134522494,-0.0770463481020277,0.0744361234383711,0.00059019084779956,0.0386891147827596,91,92,1
"IM_POST_Opposition3_Mean_N","empathy","structure","hedges.g",-0.00282625479354155,-0.292586504284211,0.286324535000914,-0.000249097745838319,0.147438693424994,91,92,1
"IM_POST_Opposition3_Mean_N","empathy","exploration","unstandardized",-0.0301044634377968,-0.103670008054837,0.0459725040603026,0.000405175688509028,0.037855479171552,91,90,1
"IM_POST_Opposition3_Mean_N","empathy","exploration","hedges.g",-0.116511646363575,-0.408278381828785,0.175047164208637,-0.00263290865985835,0.149535169594758,91,90,1
"IM_POST_Opposition3_Mean_N","structure","exploration","unstandardized",-0.0293612453032743,-0.104562346552934,0.0427248126226473,0.00078491680085882,0.037383128506643,92,90,1
"IM_POST_Opposition3_Mean_N","structure","exploration","hedges.g",-0.114051464937468,-0.406872993032887,0.17368100944578,-0.00233328279256383,0.148955696330227,92,90,1
"IM_PRE_PerceivedThreat_Mean_N","empathy","structure","unstandardized",0.0112916069437809,-0.0640016453830855,0.0845932672876619,0.000554966555183905,0.0379604952974101,91,92,1
"IM_PRE_PerceivedThreat_Mean_N","empathy","structure","hedges.g",0.0434433370103333,-0.245742657262785,0.332033732363569,0.00127414201016859,0.14750459277614,91,92,1
"IM_PRE_PerceivedThreat_Mean_N","empathy","exploration","unstandardized",-0.0541351241351241,-0.130966272431172,0.0214951980247475,-0.000189732600732635,0.0390278556156556,91,90,1
"IM_PRE_PerceivedThreat_Mean_N","empathy","exploration","hedges.g",-0.203154562842521,-0.500846656706365,0.0940643225632669,-0.00163704369372289,0.152471676477555,91,90,1
"IM_PRE_PerceivedThreat_Mean_N","structure","exploration","unstandardized",-0.065426731078905,-0.142347452861273,0.0132724341431826,-0.000383657809983881,0.0396295305767952,92,90,1
"IM_PRE_PerceivedThreat_Mean_N","structure","exploration","hedges.g",-0.240593809225329,-0.541805011819967,0.0495697432849577,-0.00254993009063856,0.150783101212279,92,90,1
"IM_POST_PerceivedThreat_Mean_N","empathy","structure","unstandardized",0.0198439241917503,-0.0605849272396034,0.0970071027064884,0.000455513616817942,0.0401832591423212,91,92,1
"IM_POST_PerceivedThreat_Mean_N","empathy","structure","hedges.g",0.0728483811508375,-0.217512199679436,0.366635196968484,-0.00167421993020998,0.147467050088902,91,92,1
"IM_POST_PerceivedThreat_Mean_N","empathy","exploration","unstandardized",-0.0354700854700855,-0.115357560007064,0.0469224796120738,0.000162813593813579,0.0413550401289187,91,90,1
"IM_POST_PerceivedThreat_Mean_N","empathy","exploration","hedges.g",-0.126135180176707,-0.418967277028669,0.156556567807126,-0.00128898358767129,0.148429583820425,91,90,1
"IM_POST_PerceivedThreat_Mean_N","structure","exploration","unstandardized",-0.0553140096618358,-0.135406511274124,0.0256187358436565,5.04025764895416e-05,0.0409247595282596,92,90,1
"IM_POST_PerceivedThreat_Mean_N","structure","exploration","hedges.g",-0.197607246235741,-0.492798388514569,0.0943672201679436,-0.00326035114963549,0.147790026787358,92,90,1
"IM_POST_Opposition_Mean_N","empathy","structure","unstandardized",0.0460204171544378,-0.0200699698576756,0.110595800544156,-0.000135336656470676,0.0333090780067989,91,97,2
"IM_POST_Opposition_Mean_N","empathy","structure","hedges.g",0.198731774467765,-0.081350108238819,0.495277396728731,0.0015900559495714,0.14651800144709,91,97,2
"IM_POST_Opposition_Mean_N","empathy","exploration","unstandardized",0.0136972956121892,-0.0535010291623743,0.0825012927033092,0.000161353362949096,0.0350471183497097,91,94,2
"IM_POST_Opposition_Mean_N","empathy","exploration","hedges.g",0.0568888667747958,-0.23613119719185,0.339744513768492,-2.40097848476922e-05,0.146164393894731,91,94,2
"IM_POST_Opposition_Mean_N","structure","exploration","unstandardized",-0.0323231215422485,-0.103243540360676,0.0385078537844174,0.000126484243620661,0.0364158358247305,97,94,2
"IM_POST_Opposition_Mean_N","structure","exploration","hedges.g",-0.1273853898469,-0.413117858722984,0.155602831944484,-0.00261052000755857,0.144546219494038,97,94,2
"IM_POST_PerceivedThreat_Mean_N","empathy","structure","unstandardized",0.0914825724104075,0.0203986603583528,0.159777593140912,0.000420060798308211,0.0357690630476387,91,97,2
"IM_POST_PerceivedThreat_Mean_N","empathy","structure","hedges.g",0.365231627191892,0.0690502355203917,0.65199502152348,0.00694227661140312,0.148698692569992,91,97,2
"IM_POST_PerceivedThreat_Mean_N","empathy","exploration","unstandardized",0.00385005065856125,-0.0672322696074003,0.0740161171434605,0.000315053386330022,0.036079843522953,91,94,2
"IM_POST_PerceivedThreat_Mean_N","empathy","exploration","hedges.g",0.0155038628536244,-0.270899470018193,0.304607400802509,0.000157068187092418,0.145593086454219,91,94,2
"IM_POST_PerceivedThreat_Mean_N","structure","exploration","unstandardized",-0.0876325217518462,-0.161342932848087,-0.0156380712675802,-1.5805732251184e-05,0.0371052718538499,97,94,2
"IM_POST_PerceivedThreat_Mean_N","structure","exploration","hedges.g",-0.337587618822641,-0.627970661417434,-0.0525614082114359,-0.00264025610337243,0.148478234836877,97,94,2
