name,essround,edition,proddate,idno,cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,prtvtbat,prtvtcbe,prtvtfch,prtvtdcz,prtvede1,prtvede2,prtvtfee,prtvtdfi,prtvtcfr,prtvtbgb,prtvtbie,prtvtcil,prtvtbis,prtvtfnl,prtvtbno,prtvtdpl,prtvtdru,prtvtbse,prtvtesi,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,clsprty,prtclcat,prtclcbe,prtclfch,prtcldcz,prtclede,prtclfee,prtcldfi,prtclefr,prtclbgb,prtclcie,prtcldil,prtclbis,prtclenl,prtclbno,prtclgpl,prtcldru,prtclbse,prtclesi,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,mnrgtjb,freehms,hmsfmlsh,hmsacld,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgblg,rlgdnm,rlgdnbat,rlgdnbe,rlgdnach,rlgdnade,rlgdnafi,rlgdngb,rlgdnie,rlgdnis,rlgdnnl,rlgdnno,rlgdnapl,rlgdnaru,rlgdnase,rlgblge,rlgdnme,rlgdebat,rlgdebe,rlgdeach,rlgdeade,rlgdeafi,rlgdegb,rlgdeie,rlgdeis,rlgdenl,rlgdeno,rlgdeapl,rlgdearu,rlgdease,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzshipc,brncntr,cntbrthc,livecnta,lnghom1,lnghom2,blgetmg,facntr,fbrncntb,mocntr,mbrncntb,gvrfgap,rfgfrpc,rfgbfml,eneffap,rdcenr,cflsenr,elgcoal,elgngas,elghydr,elgnuc,elgsun,elgwind,elgbio,wrpwrct,wrenexp,wrdpimp,wrdpfos,wrntdis,wrinspw,wrtcfl,wrtratc,clmchng,clmthgt1,clmthgt2,ccnthum,ccrdprs,wrclmch,ccgdbd,lkredcc,lklmten,gvsrdcc,ownrdcc,inctxff,sbsrnen,banhhap,dfincac,smdfslv,uemplwk,slvpens,slvuemp,gvslvol,gvslvue,gvcldcr,sbstrec,sbprvpv,sbeqsoc,sbbsntx,sblazy,sblwcoa,imsclbn,uentrjb,lbenent,bennent,admub,ubpay,ubedu,ubunp,ub50pay,ub50edu,ub50unp,ub20pay,ub20edu,ub20unp,ubsppay,ubspedu,ubspunp,bnlwinc,eduunmp,wrkprbf,basinc,eusclbf,eudcnbf,lkuemp,lknemny,vteurmmb,vteumbgb,vteubcmb,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,agea,yrbrn,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,rshipa2,rshipa3,rshipa4,rshipa5,rshipa6,rshipa7,rshipa8,rshipa9,rshipa10,rshipa11,rshipa12,icpart1,rshpsts,rshpsfi,rshpsgb,lvgptnea,dvrcdeva,icpart2,iccohbt,marsts,marstfi,marstgb,maritalb,chldhm,chldhhe,domicil,edulvlb,eisced,edlveat,edlvebe,edlvdch,edlvdcz,edubde1,eduade2,eduade3,edlvdee,edlvdfi,edlvdfr,edubgb1,eduagb2,edagegb,edlvdie,edubil1,eduail2,edlvdis,edlvenl,edlvdno,edlvepl,edupl2,edlvdru,edlvdse,edlvesi,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngref,dngdk,dngna,icomdng,mainact,mnactic,icpdwrk,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctra,estsz,jbspv,njbspv,wkdcorga,iorgact,wkhct,icwhct,wkhtot,nacer2,tporgwk,isco08,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrca,hinctnta,hincfel,icpart3,edulvlpb,eiscedp,edlvpeat,edlvpebe,edlvpdch,edlvpdcz,edupbde1,edupade2,edupade3,edlvpdee,edlvpdfi,edlvpdfr,edupbgb1,edupagb2,edagepgb,edlvpdie,edupbil1,edupail2,edlvpdis,edlvpenl,edlvpdno,edlvpepl,eduppl2,edlvpdru,edlvpdse,edlvpesi,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,icomdnp,mnactp,icppdwk,crpdwkp,isco08p,emprelp,wkhtotp,edulvlfb,eiscedf,edlvfeat,edlvfebe,edlvfdch,edlvfdcz,edufbde1,edufade2,edufade3,edlvfdee,edlvfdfi,edlvfdfr,edufbgb1,edufagb2,edagefgb,edlvfdie,edufbil1,edufail2,edlvfdis,edlvfenl,edlvfdno,edlvfepl,edlvfdru,edlvfdse,edlvfesi,emprf14,occf14b,edulvlmb,eiscedm,edlvmeat,edlvmebe,edlvmdch,edlvmdcz,edumbde1,edumade2,edumade3,edlvmdee,edlvmdfi,edlvmdfr,edumbgb1,edumagb2,edagemgb,edlvmdie,edumbil1,edumail2,edlvmdis,edlvmenl,edlvmdno,edlvmepl,edlvmdru,edlvmdse,edlvmesi,emprm14,occm14b,atncrse,anctry1,anctry2,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,region,regunit,intewde,inwdds,inwmms,inwyys,inwshh,inwsmm,inwdde,inwmme,inwyye,inwehh,inwemm,inwtm,dweight,pweight
ESS8e01,8,1.0,31.10.2017,100000001,GB,60,5,120,8,8,8,2,4,2,3,3,8,3,10,5,5,5,8,1, , , , , , , , , ,1, , , , , , , , , ,1,2,2,2,2,2,2,2,1, , , , , , , , ,1, , , , , , , , , ,2,8,10,8,10,10,10,0,3,4,2,5,2,6,3,2,3,7,4,2,10,7,4,5,2,2,1,3,8,5,2,66, , , , , ,6666, , , , , , , ,2,66, , , , , ,6666, , , , , , , ,5,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,ENG,000,2,1,66,1,66,5,4,5,0,5,10,3,2,2,1,3,3,4,1,3,4,4,3,3,4,5,1,6,4,4,8,4,1,9,1,6,5,5,4,3,2,2,7,1,2,10,4,9,3,2,2,2,2,1,4,1,2,1,4,6,6,6,6,6,6,6,6,6,1,4,4,2,4,1,4,4,3,1,1, ,2, ,4,1,2,2,2,6,6,6,6, , , , ,53,1963,1974,2001,2006,6666,6666,6666,6666, , , , ,1,2,2,66,66,66,66, , , , ,1,1, ,1,1,2,1,2,66, ,66,1,1,6,8,321,3, , , , , , , , , , ,4,10,17, , , , , , , , , , , ,13,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,1,66666,1,3,1,10,0,5,38,1,38,22,4,7500,2,1,2,2,3,1,5,2,1,323,4, , , , , , , , , , ,4,9,20, , , , , , , , , , , ,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,2,2,66666,6,666,321,3, , , , , , , , , , ,4,10,18, , , , , , , , , , ,1,3,212,2, , , , , , , , , , ,5,11,17, , , , , , , , , , ,1,3,2,11031,11030,2,2,5,5,3,2,2,3,2,2,3,1,2,2,3,2,2,1,1,2,2,UKD,1, ,11,11,2016,13,14,11,11,2016,14,29,75,1.01863920688629,2.746052374
ESS8e01,8,1.0,31.10.2017,100000002,GB,90,5,60,5,8,8,1,1,1,1,2,2,2,2,1,1,0,0,1, , , , , , , , , ,7, , , , , , , , , ,1,2,2,2,1,2,1,2,1, , , , , , , , ,2, , , , , , , , , ,4,1,7,4,1,0,4,5,2,5,1,5,1,0,4,4,4,77,10,77,8,6,4,3,2,1,3,1,9,9,2,66, , , , , ,6666, , , , , , , ,2,66, , , , , ,6666, , , , , , , ,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,ENG,000,2,1,66,1,66,1,1,3,5,6,0,4,4,3,5,2,5,4,3,5,5,3,3,3,3,3,2,6,4,3,8,3,4,6,3,3,7,5,5,5,5,4,3,6,6,8,6,8,3,2,4,4,3,4,1,3,4,3,3,6,6,6,6,6,6,4,4,2,6,6,6,1,1,3,4,1,4,55,1, ,2, ,2,1,2,6,6,6,6,6,6, , , , ,60,1956,1957,6666,6666,6666,6666,6666,6666, , , , ,1,66,66,66,66,66,66, , , , ,1,1, ,1,1,2,1,2,66, ,66,1,2,1,5,720,7, , , , , , , , , , ,4,2,16, , , , , , , , , , , ,15,0,0,0,0,0,1,0,0,0,0,0,0,2,66,6,2,2,1,2014,1,66666,1,4,1,6,6,5,37,1,46,85,2,2320,2,1,2,1,2,4,10,1,1,620,6, , , , , , , , , , ,1,4,23, , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0,0,0,0,2,66,2,2,66666,6,666,113,1, , , , , , , , , , ,7,11,14, , , , , , , , , , ,1,5,313,4, , , , , , , , , , ,1,11,19, , , , , , , , , , ,1,3,2,999999,555555,2,4,1,3,3,3,4,1,3,4,2,3,4,2,2,4,3,2,2,3,4,UKD,1, ,17,9,2016,12,18,17,9,2016,13,12,54,1.01863920688629,2.746052374
ESS8e01,8,1.0,31.10.2017,100000003,GB,10,5,600,5,5,6,2,3,2,2,2,5,7,7,5,5,5,0,2, , , , , , , , , ,66, , , , , , , , , ,2,2,2,2,1,2,2,1,2, , , , , , , , ,66, , , , , , , , , ,6,5,10,5,5,8,6,7,2,5,2,4,4,5,2,2,2,4,6,5,9,3,3,2,2,2,3,3,10,5,1,7, , , , , ,14, , , , , , , ,6,66, , , , , ,6666, , , , , , , ,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,99,2,MY,2006,ENG,000,1,2,99,2,99,3,2,3,10,6,7,3,3,2,5,2,3,3,1,4,4,2,4,4,3,1,1,6,4,3,10,4,10,8,6,5,5,2,2,2,2,3,7,5,3,10,3,1,2,2,3,3,1,1,3,1,2,1,1,1,1,3,6,6,6,6,6,6,6,6,6,3,4,2,2,2,3,1,1, ,2, ,2,2,1,6,6,6,6,6,6, , , , ,54,1962,1955,6666,6666,6666,6666,6666,6666, , , , ,1,66,66,66,66,66,66, , , , ,1,1, ,1,2,1,1,2,66, ,66,1,2,2,3,321,3, , , , , , , , , , ,4,10,21, , , , , , , , , , , ,12,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,2,0,6,1,2,66666,10,10,40,1,40,999,5,1439,1,2,6,6,3,1,2,1,1,321,3, , , , , , , , , , ,4,10,17, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,2,66,1,6,2400,1,23,113,1, , , , , , , , , , ,7,11,17, , , , , , , , , , ,4,66,113,1, , , , , , , , , , ,7,11,11, , , , , , , , , , ,2,5,1,41030,555555,1,5,2,2,2,2,2,2,2,2,2,1,2,2,2,3,5,2,1,2,2,UKH,1, ,6,10,2016,11,7,6,10,2016,12,42,95,1.01863920688629,2.746052374
ESS8e01,8,1.0,31.10.2017,100000005,GB,30,4,300,4,3,4,2,2,4,2,2,0,2,5,0,0,0,5,2, , , , , , , , , ,66, , , , , , , , , ,1,2,2,2,1,2,1,1,2, , , , , , , , ,66, , , , , , , , , ,6,0,8,2,0,10,0,0,2,5,2,5,2,5,2,3,3,2,1,1,7,2,2,1,2,2,2,3,8,2,2,66, , , , , ,6666, , , , , , , ,2,66, , , , , ,6666, , , , , , , ,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,ENG,000,2,1,66,1,66,4,2,5,9,5,2,2,2,2,5,2,2,3,2,4,2,2,4,4,4,4,1,6,2,5,5,4,4,4,5,2,3,2,2,2,4,2,10,2,7,4,4,3,1,5,5,5,2,2,5,2,4,2,4,6,6,6,6,6,6,6,6,6,1,1,1,2,3,3,2,2,2,2,2, ,2, ,2,2,1,6,6,6,6,6,6, , , , ,52,1964,1970,6666,6666,6666,6666,6666,6666, , , , ,1,66,66,66,66,66,66, , , , ,1,1, ,1,2,2,1,2,66, ,66,1,2,1,3,321,3, , , , , , , , , , ,5,10,16, , , , , , , , , , , ,11,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,1,66666,1,3,1,30,6,6,40,1,40,87,4,1343,2,2,6,6,3,1,6,1,1,113,1, , , , , , , , , , ,7,11,16, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,2,66,1,6,8300,1,40,113,1, , , , , , , , , , ,7,11,16, , , , , , , , , , ,1,8,113,1, , , , , , , , , , ,7,11,15, , , , , , , , , , ,1,8,2,11030,555555,2,4,2,5,2,1,4,2,4,2,2,2,2,2,3,2,2,2,2,4,2,UKL,1, ,7,12,2016,17,56,7,12,2016,18,49,53,1.01863920688629,2.746052374
ESS8e01,8,1.0,31.10.2017,100000006,GB,5,5,720,0,2,2,4,4,1,4,2,2,7,9,4,4,6,8,2, , , , , , , , , ,66, , , , , , , , , ,2,2,2,2,2,2,2,1,1, , , , , , , , ,4, , , , , , , , , ,3,3,6,3,3,8,5,4,3,5,1,5,1,5,1,1,1,6,8,5,7,4,3,2,2,3,3,3,0,0,2,66, , , , , ,6666, , , , , , , ,2,66, , , , , ,6666, , , , , , , ,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,ENG,000,2,1,66,1,66,2,3,2,5,3,10,4,4,1,3,2,1,2,1,3,4,4,1,2,2,1,1,6,3,3,6,3,2,4,1,0,0,1,1,1,3,3,5,4,7,7,5,0,3,2,4,4,2,3,3,4,4,3,2,6,6,6,1,1,1,6,6,6,6,6,6,2,2,2,3,3,4,1,1, ,1, ,1,1,6,6,6,6,6,6,6, , , , ,28,1988,6666,6666,6666,6666,6666,6666,6666, , , , ,66,66,66,66,66,66,66, , , , ,2,66, ,66,1,2,2,6,6, ,6,6,2,2,3,213,2, , , , , , , , , , ,4,11,16, , , , , , , , , , , ,11,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,1,66666,1,5,2,66666,10,10,37,1,50,61,4,3510,2,2,6,6,3,1,3,2,2,6666,66, , , , , , , , , , ,6666,6666,6666, , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,1,0,0,6,66,6,6,66666,6,666,620,6, , , , , , , , , , ,1,4,23, , , , , , , , , , ,1,1,113,1, , , , , , , , , , ,7,11,17, , , , , , , , , , ,3,66,1,11030,555555,1,3,3,2,5,2,3,2,5,4,5,2,1,3,4,1,5,1,4,6,1,UKM,1, ,11,10,2016,18,31,11,10,2016,19,17,46,.509319603443146,2.746052374
ESS8e01,8,1.0,31.10.2017,100000011,GB,60,4,60,5,8,5,4,1,1,1,1,9,8,8,88,88,88,88,2, , , , , , , , , ,66, , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , , , , ,66, , , , , , , , , ,6,88,10,7,6,8,88,88,8,3,3,3,3,88,8,2,2,10,5,8,10,5,3,2,2,1,2,3,7,0,1,7, , , , , ,14, , , , , , , ,6,66, , , , , ,6666, , , , , , , ,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,IN,2,IN,2008,999,000,1,2,IN,2,IN,3,3,2,10,3,0,88,88,1,88,1,4,55,1,4,1,8,8,8,8,1,8,6,1,88,88,1,88,5,5,5,5,5,5,5,3,3,88,88,88,5,6,8,1,2,3,1,1,2,3,3,2,2,4,6,6,6,6,6,6,6,6,6,1,1,1,8,8,8,8,8,8,1,1, ,1, ,2,1,2,6,6,6,6,6,6, , , , ,30,1986,1988,6666,6666,6666,6666,6666,6666, , , , ,1,66,66,66,66,66,66, , , , ,1,1, ,1,2,2,1,2,66, ,66,1,2,2,4,800,7, , , , , , , , , , ,1,1,24, , , , , , , , , , , ,20,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,2,0,6,1,2,66666,10,10,40,1,40,46,5,5221,1,1,2,2,3,77,77,1,1,800,7, , , , , , , , , , ,1,1,25, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,2,66,1,6,2512,1,40,520,5, , , , , , , , , , ,4,5,20, , , , , , , , , , ,8,2,423,5, , , , , , , , , , ,7,7,8888, , , , , , , , , , ,3,66,2,41030,555555,2,4,1,5,1,2,4,1,1,1,1,1,2,2,5,2,1,1,3,1,4,UKH,1, ,17,9,2016,10,47,21,9,2016,14,39, ,1.01863920688629,2.746052374
ESS8e01,8,1.0,31.10.2017,100000012,GB,30,5,60,7,7,7,3,1,1,1,1,3,3,6,2,2,2,6,1, , , , , , , , , ,1, , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , , , , ,66, , , , , , , , , ,6,6,7,6,5,5,5,9,3,5,1,5,2,1,4,4,4,2,2,4,7,2,2,2,2,2,2,3,8,4,2,66, , , , , ,6666, , , , , , , ,2,66, , , , , ,6666, , , , , , , ,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,66,1,66,6666,ENG,000,2,1,66,1,66,4,2,3,10,6,5,5,5,2,4,2,2,2,3,3,3,3,3,3,2,3,1,6,3,3,6,3,3,5,2,2,2,3,3,3,1,4,3,5,8,8,4,5,1,4,4,3,2,2,5,3,3,2,4,6,6,6,6,6,6,6,6,6,3,3,3,2,3,2,1,1,4,2,2, ,2, ,1,2,6,6,6,6,6,6,6, , , , ,35,1981,6666,6666,6666,6666,6666,6666,6666, , , , ,66,66,66,66,66,66,66, , , , ,2,66, ,66,1,2,2,6,6, ,6,6,2,2,3,423,5, , , , , , , , , , ,1,7,18, , , , , , , , , , , ,14,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,1,66666,1,4,2,66666,5,5,40,1,40,72,2,4211,2,1,2,1,3,1,5,2,2,6666,66, , , , , , , , , , ,6666,6666,6666, , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,1,0,0,6,66,6,6,66666,6,666,113,1, , , , , , , , , , ,7,11,14, , , , , , , , , , ,1,7,423,5, , , , , , , , , , ,1,7,18, , , , , , , , , , ,1,5,1,11031,11030,2,3,3,2,2,3,2,2,2,1,1,3,2,1,1,2,2,1,1,3,1,UKG,1, ,2,11,2016,15,42,2,11,2016,15,57,15,.509319603443146,2.746052374
ESS8e01,8,1.0,31.10.2017,100000019,GB,10,5,240,4,6,7,2,2,2,2,2,5,4,5,3,3,3,3,2, , , , , , , , , ,66, , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , , , , ,66, , , , , , , , , ,6,5,8,7,4,4,6,4,2,5,1,5,1,5,2,2,2,7,7,6,7,7,6,3,2,1,1,3,3,0,2,66, , , , , ,6666, , , , , , , ,2,66, , , , , ,6666, , , , , , , ,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,ENG,000,2,1,66,1,66,3,2,2,9,3,8,5,2,2,4,4,2,2,1,5,4,2,2,2,5,5,1,6,2,4,3,2,3,88,88,3,3,5,5,5,4,3,3,2,8,8,2,10,2,2,4,4,1,2,3,2,3,1,3,6,6,6,6,6,6,1,1,1,6,6,6,3,4,4,3,3,2,1,1, ,55, ,4,2,1,2,1,6,6,6,6, , , , ,29,1987,1983,2013,2014,6666,6666,6666,6666, , , , ,1,2,2,66,66,66,66, , , , ,1,3, ,3,6,2,1,1,6, ,6,6,1,6,3,321,3, , , , , , , , , , ,4,10,16, , , , , , , , , , , ,13,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,2,0,6,1,2,66666,10,10,28,1,32,47,5,1420,2,2,6,6,3,1,4,2,1,212,2, , , , , , , , , , ,5,11,16, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,2,66,1,6,7111,2,40,113,1, , , , , , , , , , ,7,11,15, , , , , , , , , , ,1,7,520,5, , , , , , , , , , ,4,5,20, , , , , , , , , , ,1,1,2,11030,555555,1,4,1,1,1,2,5,1,1,3,1,1,3,2,5,5,3,1,2,2,2,UKK,1, ,6,10,2016,15,22,6,10,2016,16,11,49,1.01863920688629,2.746052374
ESS8e01,8,1.0,31.10.2017,100000031,GB,30,5,60,9,8,8,2,2,3,2,3,7,7,5,6,7,7,8,1, , , , , , , , , ,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , , , , ,66, , , , , , , , , ,6,4,9,7,8,8,7,6,2,4,2,5,4,2,1,2,2,9,9,9,9,7,5,4,2,2,1,3,3,3,2,66, , , , , ,6666, , , , , , , ,2,66, , , , , ,6666, , , , , , , ,3,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,ENG,000,2,1,66,1,66,1,3,3,8,5,7,4,2,3,4,3,2,3,2,3,3,2,2,2,2,3,2,6,2,4,7,2,5,6,3,4,7,4,2,4,2,4,2,7,7,7,7,8,4,2,2,4,3,4,3,4,4,4,2,6,6,6,3,3,4,6,6,6,6,6,6,2,3,3,2,3,4,2,2, ,1, ,4,1,2,1,2,6,6,6,6, , , , ,36,1980,1977,2008,2016,6666,6666,6666,6666, , , , ,1,2,2,66,66,66,66, , , , ,1,1, ,1,2,2,1,2,66, ,66,1,1,6,3,720,7, , , , , , , , , , ,1,2,18, , , , , , , , , , , ,17,1,0,0,0,0,0,0,1,0,0,0,0,1,8,8,1,6,6,6666,2,99999,6,2,1,12,9,7,35,1,38,69,5,2411,2,2,6,6,3,2,9,2,1,620,6, , , , , , , , , , ,1,4,23, , , , , , , , , , , ,1,0,0,0,0,0,0,1,0,0,0,0,0,1,8,1,6,2330,1,32,321,3, , , , , , , , , , ,7,10,16, , , , , , , , , , ,2,6,212,2, , , , , , , , , , ,5,11,17, , , , , , , , , , ,3,66,1,11033,555555,4,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,UKM,1, ,10,11,2016,18,40,10,11,2016,19,38,58,1.01863920688629,2.746052374
ESS8e01,8,1.0,31.10.2017,100000034,GB,60,1,6666,3,4,4,3,1,1,1,4,8,7,8,5,5,2,2,1, , , , , , , , , ,1, , , , , , , , , ,1,2,2,2,2,2,2,2,1, , , , , , , , ,1, , , , , , , , , ,1,8,9,5,7,5,8,10,2,2,4,2,4,3,3,3,3,7,3,5,8,1,3,1,2,4,5,1,10,0,2,66, , , , , ,6666, , , , , , , ,1,2, , , , , ,2, , , , , , , ,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,ENG,000,2,1,66,1,66,2,4,2,5,3,5,2,2,3,5,2,2,3,4,2,3,3,1,3,2,4,2,6,1,4,0,1,3,5,5,3,5,4,2,2,4,2,3,6,5,10,10,5,2,1,4,4,2,2,3,2,4,2,4,6,6,6,6,6,6,6,6,6,1,1,4,3,2,2,3,3,4,1,1, ,2, ,1,1,6,6,6,6,6,6,6, , , , ,72,1944,6666,6666,6666,6666,6666,6666,6666, , , , ,66,66,66,66,66,66,66, , , , ,2,66, ,66,2,2,2,6,6, ,6,6,2,2,2,113,1, , , , , , , , , , ,7,11,15, , , , , , , , , , , ,9,0,0,0,0,0,1,0,0,0,0,0,0,2,66,6,2,2,1,2003,1,66666,3,4,2,66666,0,0,36,1,36,27,2,9333,2,2,6,6,2,4,3,2,2,6666,66, , , , , , , , , , ,6666,6666,6666, , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,1,0,0,6,66,6,6,66666,6,666,113,1, , , , , , , , , , ,7,11,14, , , , , , , , , , ,1,7,113,1, , , , , , , , , , ,7,11,14, , , , , , , , , , ,3,66,2,11030,555555,2,5,2,2,2,2,2,2,2,1,2,2,2,1,5,2,5,5,2,5,2,UKJ,1, ,7,10,2016,13,50,7,10,2016,99,99, ,.509319603443146,2.746052374
